Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count
00:00:00.000+02:00,00:15:00.000+02:00,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,,31.904177275401665,,,0.0841189764592098,0.0841189764592098,0.0841189764592098,46
01:45:00.000+02:00,02:00:00.000+02:00,,,18.60582104613154,,,,,,27
02:00:00.000+02:00,02:15:00.000+02:00,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,,13.460000038146973,,,1.7481247186660767,1.7481247186660767,1.7481247186660767,19
02:30:00.000+02:00,02:45:00.000+02:00,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,,,,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,,,,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,,,,,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,,,,,,,,,
09:15:00.000+02:00,09:30:00.000+02:00,,,,,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,,,,,,,,,
09:45:00.000+02:00,10:00:00.000+02:00,,,,,,,,,
10:00:00.000+02:00,10:15:00.000+02:00,,,,,,,,,
10:15:00.000+02:00,10:30:00.000+02:00,,,,,,,,,
10:30:00.000+02:00,10:45:00.000+02:00,,,,,,,,,
10:45:00.000+02:00,11:00:00.000+02:00,,,14.642292718083137,,,,,,21
11:00:00.000+02:00,11:15:00.000+02:00,12,,531.0577194889481,,,0.6634829760532881,0.8009814469440601,0.5259845051625159,792
11:15:00.000+02:00,11:30:00.000+02:00,,,,,,,,,
11:30:00.000+02:00,11:45:00.000+02:00,,,,,,,,,
11:45:00.000+02:00,12:00:00.000+02:00,,,,,,,,,
12:00:00.000+02:00,12:15:00.000+02:00,2,,90.12000274658203,,,0.5854028661460413,0.5854028661460413,0.5854028661460413,115
12:15:00.000+02:00,12:30:00.000+02:00,8,,208.0044972308381,,,0.35413769800297396,0.35413769800297396,0.35413769800297396,323
12:30:00.000+02:00,12:45:00.000+02:00,,,49.60550337951346,,,0.16966121020972633,0.16966121020972633,0.16966121020972633,70
12:45:00.000+02:00,13:00:00.000+02:00,,,,,,,,,
13:00:00.000+02:00,13:15:00.000+02:00,,,,,,,,,
13:15:00.000+02:00,13:30:00.000+02:00,,,,,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,3,,121.13762266092836,,,,,,177
13:45:00.000+02:00,14:00:00.000+02:00,5,,186.53433682552864,,,0.6009861576140242,0.6009861576140242,0.6009861576140242,273
14:00:00.000+02:00,14:15:00.000+02:00,,,38.09805241539848,,,0.10582415050527332,0.10582415050527332,0.10582415050527332,55
14:15:00.000+02:00,14:30:00.000+02:00,,,,,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,,,14.220000267028809,,,5.5410966873168945,5.5410966873168945,5.5410966873168945,18
14:45:00.000+02:00,15:00:00.000+02:00,,,5.360000133514404,,,2.0910706520080566,2.0910706520080566,2.0910706520080566,8
15:00:00.000+02:00,15:15:00.000+02:00,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,8,,225.62115936974695,,,0.46322154389282855,0.46322154389282855,0.46322154389282855,322
16:00:00.000+02:00,16:15:00.000+02:00,10,,436.1467214334157,,,0.523472048219774,0.5915666845686206,0.45537741187092734,621
16:15:00.000+02:00,16:30:00.000+02:00,1,,20.132128352110804,,,,,,32
16:30:00.000+02:00,16:45:00.000+02:00,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,,10.010000228881836,,,3.895792007446289,3.895792007446289,3.895792007446289,13
17:30:00.000+02:00,17:45:00.000+02:00,,,,,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,1,,23.649999618530273,,,0.43890052127748963,0.43890052127748963,0.43890052127748963,37
18:45:00.000+02:00,19:00:00.000+02:00,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,1,,28.290000915527344,,,0.6890957479974045,0.6890957479974045,0.6890957479974045,44
19:15:00.000+02:00,19:30:00.000+02:00,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,,18.3700008392334,,,0.5966384864877512,0.5966384864877512,0.5966384864877512,28
22:15:00.000+02:00,22:30:00.000+02:00,1,,19.049999237060547,,,0.6752541390500076,0.6752541390500076,0.6752541390500076,30
22:30:00.000+02:00,22:45:00.000+02:00,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,,,,,,,,
