Start Time, End Time, Time in Bed (mins), Is nap, Sleep quality, Awake duration (mins), REM sleep duration (mins), Light sleep duration (mins), Deep sleep duration (mins), Amount of audio recordings, Wake-up mood, 
Optional(2023-10-04 22:38:49 +0000), Optional(2023-10-05 06:43:50 +0000), 485, No, 80, 30, 35, 195, 225, 0, OK, 
Optional(2023-10-07 00:22:24 +0000), Optional(2023-10-07 08:35:42 +0000), 493, No, 72, 45, 58, 60, 330, 0, OK, 
Optional(2023-10-08 00:31:52 +0000), Optional(2023-10-08 08:37:27 +0000), 486, No, 72, 15, 6, 60, 405, 0, OK, 
Optional(2023-10-08 22:49:45 +0000), Optional(2023-10-09 06:36:28 +0000), 467, No, 37, 225, 62, 135, 45, 0, OK, 
Optional(2023-10-09 22:27:44 +0000), Optional(2023-10-10 06:33:20 +0000), 486, No, 70, 15, 21, 15, 435, 0, OK, 
Optional(2023-10-10 23:58:24 +0000), Optional(2023-10-11 08:54:00 +0000), 536, No, 58, 150, 0, 221, 165, 0, OK, 
Optional(2023-10-13 01:50:46 +0000), Optional(2023-10-13 09:28:22 +0000), 458, No, 15, 315, 0, 128, 15, 0, Bad, 
Optional(2023-10-13 22:45:12 +0000), Optional(2023-10-14 07:50:20 +0000), 545, No, 77, 15, 5, 255, 270, 0, Undefined, 
Optional(2023-10-15 00:57:08 +0000), Optional(2023-10-15 09:57:40 +0000), 541, No, 68, 135, 31, 135, 240, 0, OK, 
Optional(2023-10-16 00:28:24 +0000), Optional(2023-10-16 09:28:42 +0000), 540, No, 63, 165, 120, 195, 60, 0, OK, 
Optional(2023-10-17 22:23:53 +0000), Optional(2023-10-18 06:30:04 +0000), 486, No, 59, 75, 6, 60, 345, 0, OK, 
Optional(2023-10-22 01:12:50 +0000), Optional(2023-10-22 10:09:24 +0000), 537, No, 44, 210, 27, 150, 150, 0, OK, 
Optional(2023-10-22 23:00:18 +0000), Optional(2023-10-23 06:30:20 +0000), 450, No, 83, 15, 75, 300, 60, 0, Bad, 
Optional(2023-10-23 23:53:30 +0000), Optional(2023-10-24 08:03:36 +0000), 490, No, 77, 30, 10, 150, 300, 0, OK, 
